"metric","eval_dataset","subset","eval_type","ranker","entry_id_num","cluster_num","rank"
"LDDT","dsDNA_Protein","All","dsDNA_Protein","best",35,35,"boltz-1 (0.7978000044822693) > boltz-gs (0.7421000003814697)"
"LDDT","dsDNA_Protein","All","dsDNA_Protein","best.complex_ipde",35,35,"boltz-1 (0.7730000019073486) > boltz-gs (0.7215999960899353)"
"LDDT","dsDNA_Protein","All","dsDNA_Protein","best.complex_iplddt",35,35,"boltz-1 (0.7698000073432922) > boltz-gs (0.730400025844574)"
"LDDT","dsDNA_Protein","All","dsDNA_Protein","best.complex_pde",35,35,"boltz-1 (0.76910001039505) > boltz-gs (0.729200005531311)"
"LDDT","dsDNA_Protein","All","dsDNA_Protein","best.complex_plddt",35,35,"boltz-1 (0.7698000073432922) > boltz-gs (0.7276999950408936)"
"LDDT","dsDNA_Protein","All","dsDNA_Protein","best.confidence_score",35,35,"boltz-1 (0.7706000208854675) > boltz-gs (0.7310000061988831)"
"LDDT","dsDNA_Protein","All","dsDNA_Protein","best.iptm",35,35,"boltz-1 (0.7670000195503235) > boltz-gs (0.7322999835014343)"
"LDDT","dsDNA_Protein","All","dsDNA_Protein","best.ligand_iptm",35,35,"boltz-1 (0.7705000042915344) > boltz-gs (0.7236999869346619)"
"LDDT","dsDNA_Protein","All","dsDNA_Protein","best.pair_chains_iptm",35,35,"boltz-1 (0.7660999894142151) > boltz-gs (0.7347000241279602)"
"LDDT","dsDNA_Protein","All","dsDNA_Protein","best.protein_iptm",35,35,"boltz-1 (0.7710000276565552) > boltz-gs (0.6808000206947327)"
"LDDT","dsDNA_Protein","All","dsDNA_Protein","best.ptm",35,35,"boltz-1 (0.7670999765396118) > boltz-gs (0.7330999970436096)"
"LDDT","dsDNA_Protein","All","dsDNA_Protein","mean",35,35,"boltz-1 (0.7699999809265137) > boltz-gs (0.7020000219345093)"
"LDDT","dsDNA_Protein","All","dsDNA_Protein","median",35,35,"boltz-1 (0.7700999975204468) > boltz-gs (0.7178000211715698)"
"LDDT","dsDNA_Protein","All","dsDNA_Protein","rand",35,35,"boltz-1 (0.7666000127792358) > boltz-gs (0.7099000215530396)"
"LDDT","dsDNA_Protein","All","dsDNA_Protein","worst",35,35,"boltz-1 (0.7545999884605408) > boltz-gs (0.6004999876022339)"
